figure,condition,interpretation,check_note
01_target_positive_rate,"전체 648,529명 기준, D4-D28 결과 컬럼의 0 초과 여부를 양성으로 계산","결제/구매하트는 희소 타깃이고, 재방문과 활동일수는 상대적으로 양성 비율이 높습니다.",
02_missing_rate_top,"전체 컬럼의 결측 수를 계산하고, 결측이 있는 컬럼만 상위 20개까지 표시",그래프가 0%로 표시되는 것은 현재 mart_d3.csv 기준 결측치가 없다는 뜻입니다.,전체 결측 셀 수=6
03_feature_distribution_log1p,"전체 데이터에서 최대 50,000명을 표본 추출하고, 각 D0-D3 입력 피처를 log1p 변환해 20개 구간으로 집계",수신/발신 행동 피처는 경험자가 적어 0값 비율이 높게 나오는 것이 자연스럽습니다. 0값 비율은 각 소제목에 표시했습니다.,"0값 비율 90% 이상 상위 피처: 수신 후 포인트 사용 횟수, 수신 후 포인트 사용 여부, D0-D3 완료 발신 수, D0-D3 발신 완료율, D0-D3 고유 질문 수"
04_spearman_correlation_heatmap,D0-D3 입력 피처와 D4-D28 결과 타깃의 Spearman 순위상관계수 계산,"색은 상관 방향과 크기를, 셀 안 숫자는 상관계수를 의미합니다. 절댓값이 클수록 단조 관계가 강합니다.",
05_basic_classification_roc_auc,"전체 유저와 관계 경험자 모집단에서 환경축 only, 환경축+수신/발신축 LightGBM 모델 비교",ROC-AUC는 전체적인 양성/음성 구분력을 의미합니다. 범례는 그래프 밖에 배치했고 각 막대 위에 값을 표시했습니다.,
06_basic_classification_f1,"전체 유저와 관계 경험자 모집단에서 환경축 only, 환경축+수신/발신축 LightGBM 모델 비교",F1은 Precision과 Recall의 균형 지표입니다. 결제처럼 희소 타깃은 F1만으로 판단하지 않고 Top-K Lift를 함께 봅니다.,
07_basic_regression_r2,"전체 유저와 관계 경험자 모집단에서 활동일수, 결제횟수, 구매하트수 회귀 모델 비교",R²는 설명력입니다. 0 이하 값은 현재 D0-D3 피처만으로 평균 예측보다 낫지 않을 수 있음을 뜻합니다.,
08_basic_payment_topk_lift,"결제 여부 LightGBM 예측확률 기준으로 테스트셋 상위 1%, 3%, 5%, 10%의 실제 결제율을 전체 결제율과 비교",Lift가 1보다 크면 평균보다 결제자가 더 많이 모인 것입니다. Top 1%가 0이면 해당 상위 1% 구간에 실제 결제자가 없었다는 뜻입니다.,
09_basic_feature_importance_top10,기본 모델별 LightGBM split importance를 타깃별로 평균 집계한 뒤 상위 10개 표시,중요도는 모델이 분기에서 사용한 빈도입니다. 값이 0이면 해당 타깃/조건에서 유의미한 분기가 거의 없었다는 신호로 해석합니다.,
10_extra_model_roc_auc,"관계 경험 발생, 활동 지속/이탈, 결제 랭킹, 구매 강도 모델을 모집단과 피처 구성별로 비교",빈 facet을 없애기 위해 한 그래프 안에 모델군|타깃|모집단|피처 구성을 y축으로 표시했습니다. 색은 모델군(A/B 포함)을 뜻합니다.,
11_extra_model_pr_auc,"관계 경험 발생, 활동 지속/이탈, 결제 랭킹, 구매 강도 모델을 모집단과 피처 구성별로 비교",PR-AUC는 양성 클래스가 희소할 때 유용합니다. 결제/구매 강도는 ROC-AUC와 함께 Top-K Lift를 같이 해석합니다.,
12_extra_topk_lift,"A는 전체 유저 결제 전환 모델, B는 D4-D28 결제 유저 내부 구매 강도 모델 기준으로 Top-K Lift 계산","그래프 제목과 범례에 A/B를 명시했습니다. 결제 여부는 A1~A4, 반복/고구매는 B1~B4 피처 구성을 비교합니다.",
13_extra_feature_importance_top10,추가 모델링별 LightGBM split importance를 타깃별로 평균 집계한 뒤 상위 10개 표시,고구매/반복 결제에서 막대가 거의 보이지 않으면 모델이 해당 초기 피처로 구매 강도를 잘 분기하지 못했다는 의미입니다.,
